Dataset	Organism	Technique	Target Element	Assay Factor	Conditions	PI	ID
LSD1;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	LSD1	Mixed Adult	Karpen, G.	5574
LSD1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	LSD1	Late Embryonic stage	Karpen, G.	3785
LSD1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	LSD1	Late Embryonic stage	Karpen, G.	3786
LSD1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	LSD1	Late Embryonic stage	Karpen, G.	3949
MBD-R2;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	MBD-R2	Embryos 14-16 hr OR	Karpen, G.	5117
MBD-R2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MBD-R2	Late Embryonic stage	Karpen, G.	946
MBD-R2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MBD-R2	Late Embryonic stage	Karpen, G.	3039
MBD-R2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MBD-R2	Late Embryonic stage	Karpen, G.	3787
MCM2-7;36 base pair;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	2979
MCM2-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	675
MCM2-7;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	MCM2-7	Late Embryonic stage	MacAlpine, D.	2783
MLE;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MLE	Late Embryonic stage	Karpen, G.	3040
MLE;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MLE	Late Embryonic stage	Karpen, G.	3788
mod(mdg4);Embryos 0-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	mod(mdg4)	Embryos 0-12 hr	White, K.	24
mod(mdg4);Embryos 8-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	mod(mdg4)	Embryos 8-16 hr	White, K.	2602
mod(mdg4);Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	mod(mdg4)	Larvae L3 stage	White, K.	4094
mod(mdg4);ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	mod(mdg4)	Larvae 3rd instar	Karpen, G.	324
mod(mdg4);S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	mod(mdg4)	Late Embryonic stage	Karpen, G.	2674
mod(mdg4);S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	mod(mdg4)	Late Embryonic stage	Karpen, G.	3789
MOF;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MOF	Larvae 3rd instar	Karpen, G.	3042
MOF;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MOF	Late Embryonic stage	Karpen, G.	3043
MOF;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	MOF	Larvae 3rd instar	Karpen, G.	3041
MOF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	MOF	Embryos 14-16 hr OR	Karpen, G.	5118
MOF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MOF	Late Embryonic stage	Karpen, G.	3044
MRG15;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MRG15	Late Embryonic stage	Karpen, G.	3046
MRG15;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MRG15	Larvae 3rd instar	Karpen, G.	3045
MRG15;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MRG15	Late Embryonic stage	Karpen, G.	3047
MRG15;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MRG15	Late Embryonic stage	Karpen, G.	3950
MSL-1;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	MSL-1	Late Embryonic stage	Karpen, G.	3293
nejire;103.1;Y cn bw sp;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 0-4 hr	White, K.	854
nejire;36.2;Y cn bw sp;Embryos 20-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 20-24 hr	White, K.	858
nejire;Adult Female;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Adult Female	White, K.	881
nejire;Adult Male;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Adult Male	White, K.	882
nejire;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 0-4 hr	White, K.	875
nejire;Embryos 0-4 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 0-4 hr	White, K.	900
nejire;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 0-4 hr	White, K.	3233
nejire;Embryos 16-20 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Embryos 16-20 hr	White, K.	877
nejire;Embryos 20-24 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 20-24 hr	White, K.	643
nejire;Embryos 4-8 hr;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Embryos 4-8 hr	White, K.	876
nejire;Larvae L1 stage;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Larvae L1 stage	White, K.	878
nejire;Larvae L3 stage;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Larvae L3 stage	White, K.	879
nejire;Pupae;ChIP-chip	D. melanogaster	ChIP-chip	Transcriptional Factor	nejire	Pupae	White, K.	880
nejire;Y cn bw sp;Adult Female;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Adult Female	White, K.	862
nejire;Y cn bw sp;Adult Male;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Adult Male	White, K.	863
nejire;Y cn bw sp;Embryos 12-16 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 12-16 hr	White, K.	905
nejire;Y cn bw sp;Embryos 12-16 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 12-16 hr	White, K.	856
nejire;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factorandTranscriptional Factor	nejire	Embryos 16-20 hr	White, K.	849
nejire;Y cn bw sp;Embryos 16-20 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factorandTranscriptional Factor	nejire	Embryos 16-20 hr	White, K.	857
nejire;Y cn bw sp;Embryos 4-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 4-8 hr	White, K.	855
nejire;Y cn bw sp;Embryos 8-12 hr;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	nejire	Embryos 8-12 hr	White, K.	903
nejire;Y cn bw sp;Embryos 8-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Embryos 8-12 hr	White, K.	985
nejire;Y cn bw sp;Larvae L1 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Larvae L1 stage	White, K.	859
nejire;Y cn bw sp;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Larvae L3 stage	White, K.	860
nejire;Y cn bw sp;Pupae;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	nejire	Pupae	White, K.	861
Nucleosome;Salt 150 mM;1-2 hours;soluble fraction;B3;Embryonic stage 3 hr;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Embryonic stage 3 hrSalt 150 mM	Henikoff, S.	2507
Nucleosome;Salt 150 mM;1-2 hours;soluble fraction;B3;Extended germ band stage;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Extended germ band stageSalt 150 mM	Henikoff, S.	2510
Nucleosome;Salt 150 mM;1-2 hours;soluble fraction;ML-DmD16-c3;Larvae 3rd instar;Dorsal mesothoracic disc;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Larvae 3rd instarSalt 150 mM	Henikoff, S.	2514
Nucleosome;Salt 150-600 mM;1 – 2 hours;soluble fraction;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 150-600 mM	Henikoff, S.	2527
Nucleosome;Salt 600 mM;1 to 2 hours;precipitate;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 600 mM	Henikoff, S.	2757
Nucleosome;Salt 600 mM;1 to 2 hours;precipitate;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 600 mM	Henikoff, S.	2760
Nucleosome;Salt 600 mM;1 to 2 hours;soluble fraction;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 600 mM	Henikoff, S.	2756
Nucleosome;Salt 600 mM;1 to 2 hours;soluble fraction;Kc167;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 600 mM	Henikoff, S.	2759
Nucleosome;Salt 600 mM;1-2 hours;precipitate;B3;Embryonic stage 3 hr;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Embryonic stage 3 hrSalt 600 mM	Henikoff, S.	2509
Nucleosome;Salt 600 mM;1-2 hours;precipitate;B3;Extended germ band stage;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Extended germ band stageSalt 600 mM	Henikoff, S.	2512
Nucleosome;Salt 600 mM;1-2 hours;precipitate;ML-DmD16-c3;Larvae 3rd instar;Dorsal mesothoracic disc;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Larvae 3rd instarSalt 600 mM	Henikoff, S.	2516
Nucleosome;Salt 600 mM;1-2 hours;soluble fraction;B3;Embryonic stage 3 hr;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Embryonic stage 3 hrSalt 600 mM	Henikoff, S.	2508
Nucleosome;Salt 600 mM;1-2 hours;soluble fraction;B3;Extended germ band stage;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Extended germ band stageSalt 600 mM	Henikoff, S.	2511
Nucleosome;Salt 600 mM;1-2 hours;soluble fraction;ML-DmD16-c3;Larvae 3rd instar;Dorsal mesothoracic disc;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Larvae 3rd instarSalt 600 mM	Henikoff, S.	2515
Nucleosome;Salt 80 mM;1 – 2 hours;soluble fraction;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 80 mM	Henikoff, S.	2517
Nucleosome;Salt 80 mM;1-2 hours;soluble fraction;ML-DmD16-c3;Larvae 3rd instar;Dorsal mesothoracic disc;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Larvae 3rd instarSalt 80 mM	Henikoff, S.	2513
Nucleosome;Salt 80-150 mM;3 hours;soluble fraction;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;DNA-tiling-array	D. melanogaster	DNA-tiling-array	Chromatin Structure	Nucleosome	Late Embryonic stageSalt 80-150 mM	Henikoff, S.	2522
NURF301;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Larvae 3rd instar	Karpen, G.	5063
NURF301;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	NURF301	Embryos 14-16 hr OR	Karpen, G.	5119
NURF301;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Late Embryonic stage	Karpen, G.	947
NURF301;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Late Embryonic stage	Karpen, G.	3048
NURF301;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	NURF301	Late Embryonic stage	Karpen, G.	3790
ORC2;36 base pair;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Larvae 3rd instar	MacAlpine, D.	4351
ORC2;36 base pair;DevStage:Mixed Embryos 0-24h:SC:1;Embryos mixed stages 0-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Embryos mixed stages 0-24 hr	MacAlpine, D.	3247
ORC2;36 base pair;DevStageFly:Embryo 0-2h:SC:1;Embryos 0-2 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Embryos 0-2 hr	MacAlpine, D.	3628
ORC2;36 base pair;Oregon-R;Embryos 4-7 hr;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Embryos 4-7 hr	MacAlpine, D.	4192
ORC2;FlyStrain:SuUR---Orr-Weaver:DM:1;SuUR - Orr-Weaver;L3 stage wandering stage larvae;36 base pair;Salivary glands;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	L3 stage wandering stage larvae	MacAlpine, D.	3253
ORC2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	ORC2	Late Embryonic stage	MacAlpine, D.	674
ORC2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	ORC2	Late Embryonic stage	MacAlpine, D.	3441
ORC2;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Late Embryonic stage	MacAlpine, D.	2755
ORC2;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Larvae 3rd instar	MacAlpine, D.	2754
ORC2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	DNA Replication	ORC2	Late Embryonic stage	MacAlpine, D.	3388
ORC2;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-seq	D. melanogaster	ChIP-seq	DNA Replication	ORC2	Late Embryonic stage	MacAlpine, D.	2753
pangolin;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	pangolin	Embryos 0-8 hr	White, K.	4074
pangolin;Embryos 16-24 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	pangolin	Embryos 16-24 hr	White, K.	4107
Pc;HP1b mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Larvae 3rd instar	Karpen, G.	5603
Pc;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Larvae 3rd instar	Karpen, G.	325
Pc;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Pc	Embryos 14-16 hr OR	Karpen, G.	3957
Pc;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Embryos 2-4 hr OR	Karpen, G.	5064
Pc;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Late Embryonic stage	Karpen, G.	326
Pc;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pc	Late Embryonic stage	Karpen, G.	3791
PCL;Embryos 0-8 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	PCL	Embryos 0-8 hr	White, K.	3237
PCL;FlyStrain;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	PCL	Embryos 0-4 hr	White, K.	3813
PCL;FlyStrain;Larvae L3 stage;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	PCL	Larvae L3 stage	White, K.	3816
PCL;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PCL	Larvae 3rd instar	Karpen, G.	948
PCL;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PCL	Late Embryonic stage	Karpen, G.	3049
PCL;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PCL	Late Embryonic stage	Karpen, G.	3792
Pho;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Pho	Late Embryonic stage	Karpen, G.	3894
PIWI;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Larvae 3rd instar	Karpen, G.	3050
PIWI;Kc167;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Late Embryonic stage	Karpen, G.	949
PIWI;Oregon-R;Larvae 3rd instar Sexed Female;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Larvae 3rd instar Sexed Female	Karpen, G.	4199
PIWI;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone Modification	PIWI	Larvae 3rd instar	Karpen, G.	3051
PIWI;PIWI2 mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PIWI	Larvae 3rd instar	Karpen, G.	3951
POF;EGG mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3793
POF;HP1a mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3896
POF;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3052
POF;Oregon-R;Embryos 14-16 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Embryos 14-16 hr OR	Karpen, G.	3895
POF;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Embryos 14-16 hr OR	Karpen, G.	5120
POF;Oregon-R;Embryos 2-4 hr OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Embryos 2-4 hr OR	Karpen, G.	3952
POF;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3053
POF;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3709
POF;Oregon-R;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Histone ModificationandNon TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3795
POF;Oregon-R;Larvae 3rd instar;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	5121
POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	3796
POF;Oregon-R;Tissue:Heads-OR:GK:1;Mixed Adult;Heads OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	POF	Mixed Adult	Karpen, G.	5598
POF;POF mutant;Larvae 3rd instar;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Larvae 3rd instar	Karpen, G.	3794
POF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Late Embryonic stage	Karpen, G.	3294
POF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Late Embryonic stage	Karpen, G.	3710
POF;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	POF	Late Embryonic stage	Karpen, G.	3897
PR-Set7;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PR-Set7	Larvae 3rd instar	Karpen, G.	5065
PR-Set7;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	PR-Set7	Late Embryonic stage	Karpen, G.	3054
prd;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	prd	Embryos 0-12 hr	White, K.	4095
prd;Embryos 0-12 hr;ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	prd	Embryos 0-12 hr	White, K.	4096
Psc;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Psc	Larvae 3rd instar	Karpen, G.	3055
Psc;Oregon-R;Embryos 14-16 hr OR;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	Psc	Embryos 14-16 hr OR	Karpen, G.	3960
Psc;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Psc	Late Embryonic stage	Karpen, G.	3056
Psc;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;ChIP-chip	D. melanogaster	ChIP-chip	Non TF Chromatin binding factor	Psc	Late Embryonic stage	Karpen, G.	3797
psq;D.pseudoobscura wild-type;Embryos 0-4 hr;ChIP-seq	D. melanogaster	ChIP-seq	Non TF Chromatin binding factor	psq	Embryos 0-4 hr	White, K.	3808
psq;White prepupae (WPP);ChIP-seq	D. melanogaster	ChIP-seq	Transcriptional Factor	psq	White prepupae (WPP)	White, K.	4098
Replication-Copy-Number;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Larvae 3rd instar	MacAlpine, D.	3201
Replication-Copy-Number;CME-W1-Cl.8+;Larvae 3rd instar;Dorsal mesothoracic disc;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Larvae 3rd instar	MacAlpine, D.	5525
Replication-Copy-Number;Embryos 0-4 hr;Larval salivary gland;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Embryos 0-4 hr	MacAlpine, D.	2544
Replication-Copy-Number;Kc167;Late Embryonic stage;Embryo-derived cell-line;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Late Embryonic stage	MacAlpine, D.	2552
Replication-Copy-Number;Kc167;Late Embryonic stage;Embryo-derived cell-line;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Late Embryonic stage	MacAlpine, D.	5523
Replication-Copy-Number;ML-DmBG3-c2;Larvae 3rd instar;CNS-derived cell-line;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Larvae 3rd instar	MacAlpine, D.	2553
Replication-Copy-Number;Oregon-R Orr-Weaver;Adult Female, eclosion + 1 days;Oocyte associated follicle cell;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Adult Female, eclosion + 1 days	MacAlpine, D.	2385
Replication-Copy-Number;Oregon-R Orr-Weaver;Embryos 0-4 hr;Larval salivary gland;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Embryos 0-4 hr	MacAlpine, D.	2545
Replication-Copy-Number;Oregon-R;Adult Female, eclosion + 1 days;Oocyte associated follicle cell;CGH	D. melanogaster	CGH	Copy Number Variation	Replication-Copy-Number	Adult Female, eclosion + 1 days	MacAlpine, D.	2384
Replication-Copy-Number;S2-DRSC;Late Embryonic stage;Embryo-derived cell-line;CNV-seq	D. melanogaster	CNV-seq	Copy Number Variation	Replication-Copy-Number	Late Embryonic stage	MacAlpine, D.	2551
